
benchmark, nPattern, uniquePattern, portion(%)
../../benchmarks/ISCAS/s1196.blif, 3000, 3000, 0.000070
Timing (s), icompact, construct ntk
w/ support    , 0.000000, 32.808691
w/ support mfs, 3.341086, 81.571203
Overall circuit size(aig gate count)
 original, 477
 w/ support, 22364
 w/ support mfs, 22195
Support size on each po
original, 1, 1, 4, 21, 20, 19, 19, 18, 19, 19, 20, 21, 23, 22, 2, 3, 3, 4, 5, 5, 21, 18, 5, 6, 6, 6, 8, 8, 10, 15, 17, 18
w/ support, 1, 1, 4, 18, 16, 16, 16, 14, 14, 17, 15, 17, 14, 13, 2, 3, 3, 4, 5, 5, 14, 15, 5, 6, 6, 6, 8, 8, 10, 15, 15, 14
Cone size on each po(aig gate count)
original, 0, 0, 3, 163, 99, 110, 100, 64, 55, 102, 104, 173, 155, 165, 3, 2, 4, 4, 12, 11, 163, 63, 9, 20, 15, 9, 13, 19, 26, 41, 58, 56
w/ support, 0, 0, 3, 5660, 1628, 790, 925, 860, 856, 2126, 388, 1007, 108, 76, 3, 2, 6, 4, 11, 11, 201, 1126, 10, 16, 13, 9, 143, 186, 356, 920, 5582, 3813
w/ support mfs, 0, 0, 3, 5654, 1616, 773, 927, 855, 858, 2116, 387, 1001, 104, 76, 3, 2, 6, 4, 12, 11, 200, 1102, 11, 16, 14, 9, 37, 135, 355, 920, 5555, 3819
